PuzzleId,Solved,NormalNodeCount,QuiescenceNodeCount,SearchDepth,TimeMS
15QZ4,0,74734,5278415,7,998
17wPd,1,34882,3768594,6,708
1QelY,0,107330,5408568,5,998
1hQiZ,0,261961,5181352,7,998
3pO7X,0,33513,5678070,5,998
3zLr4,0,257992,4899958,6,998
44mB4,1,21405,1682624,6,351
4X4Ay,0,277950,3547779,9,630
5REEZ,0,196800,2726806,7,547
6SYLR,0,1072312,5445053,10,998
6jweU,0,109676,5370348,6,998
6yoSQ,0,174350,5219650,5,998
7PZy6,0,97609,5097914,6,980
7vw0B,0,64904,5394177,5,998
80Xvg,1,6160,65106,6,12
8B4Op,1,46766,1239863,6,248
8ePOO,0,214370,5590673,8,958
8y7bD,0,108051,3228876,7,598
94CSj,0,371278,5213695,8,998
99cxq,0,112922,2918616,7,576
9koGX,0,122749,5228777,7,998
A3731,1,21969,1788481,6,325
Al3ky,1,181641,3204265,8,679
B3qc6,0,1084336,5416082,10,998
Bc1L7,0,81053,5081573,6,998
CVZVN,0,57147,3930680,6,731
DSYY3,0,128069,4550341,6,897
I9SYs,1,182320,2579716,8,503
J9vOp,0,138740,3622374,7,678
JRNEc,0,239209,3897917,8,735
K4zXW,1,11942,194696,6,34
KIfQ7,1,36250,228739,8,41
LEY6q,0,218250,5265871,6,998
LPss0,0,18379,4414824,6,751
Ls1qV,1,226879,4274776,8,772
M6aMA,1,2423,18337,6,3
MWwdD,0,75511,5328251,5,998
NMVg8,0,40978,4298242,6,800
NgyrL,1,69378,291697,10,56
NwpaG,1,4605,45332,6,9
OIiOg,1,45063,2517406,6,479
P1o7S,0,38487,5486100,5,998
PBZZq,1,137530,603962,12,115
Q6JRX,1,19349,454377,6,88
QX9jS,1,21685,559014,6,109
QlNbu,1,39369,738495,6,149
RJToR,0,21363,2676137,6,486
RiZEg,1,34028,101346,12,18
SQ7du,1,6887,93962,6,16
SSZbz,1,43473,824189,6,156
Sw7q6,0,58486,5436924,5,998
Sx6BB,0,749605,3178181,12,583
TYwLu,1,30470,1534982,6,263
TwhhD,0,247978,2680963,9,464
U4x6S,1,170568,1815136,8,330
XA9ib,0,211533,5249497,6,998
Y7Urg,0,695277,4321104,12,770
Z7HWl,1,888367,5387030,12,975
ZNY3i,1,20481,1369428,6,254
anlaz,0,255445,5747812,7,998
bsLqG,0,143405,5191786,6,998
dNrXK,0,157863,5529504,6,998
eAeQs,0,289487,4567245,8,889
egI2T,1,232316,3737338,8,725
emKFl,1,10678,187773,6,38
emUlo,1,282073,1922431,10,335
gQq64,1,1567,9550,6,1
iuvbJ,1,435141,2121036,10,429
jV51p,0,157079,3081837,7,598
jdLjs,0,110544,5191818,5,998
joOLq,0,55734,4491596,6,816
k0m2F,0,1141852,3198358,14,607
k6K58,0,84817,5074631,6,998
kd59E,1,3522,16194,6,3
kyD2e,0,146887,4263449,7,840
m5kp4,0,99227,2750474,6,559
nBlvm,1,36946,930757,6,184
nJ6HC,0,691393,4112578,13,725
ooxVO,1,4704,85735,6,15
oqOeM,0,176829,5173651,6,998
osJzR,0,107327,5580079,5,998
p6GCb,1,8545,52564,8,9
pmGYB,1,5970,170570,6,32
qaHCq,1,30587,1312919,6,237
qcBaB,1,49498,3278553,6,612
qgv5A,0,18056,2857275,5,549
r09S3,0,1302024,5548375,13,993
rSZdq,0,611846,5130851,9,998
rjmim,0,218305,5485535,7,998
seT1J,0,139784,5176424,6,998
t2VxA,0,781270,5976734,10,998
tHvZG,0,77787,3466766,6,630
uDbqu,1,45496,2326202,6,430
uP9bc,0,385392,3889359,9,719
vcev0,0,53739,3544648,7,625
wvdPi,0,1651028,5169354,21,998
xYfit,0,306713,4293962,9,763
xePPE,0,16233,4628463,5,814
zZsYk,0,854628,5704009,12,902
zqLCp,1,216152,2220746,10,405
